id,userid,start_lat,start_lon,end_lat,end_lon,status
9,2,38.0411733,23.8351989,38.0412989,23.8300652,0
10,1,38.0425534,23.8322584,38.0431729,23.8324819,0
11,2,38.0441155,23.8325604,38.0409564,23.8306778,1
12,1,38.0425951,23.8329638,38.0357467,23.8333876,0
13,2,38.0450792,23.8331006,38.039702,23.8335411,1
14,2,38.0405532,23.8311341,38.0432357,23.8307298,1
15,1,38.0450066,23.8334919,38.0324155,23.835469,1
16,1,38.0372253,23.8303896,38.032663,23.8325828,0
17,1,38.0370769,23.8343232,38.0445111,23.833835,1
18,1,38.0337916,23.8289121,38.0409679,23.8364129,0
19,1,38.0341818,23.835158,38.0425409,23.8343203,0
20,2,38.0447608,23.829295,38.0364012,23.8281688,0
21,1,38.0329893,23.8291898,38.0389798,23.83272,0
22,2,38.0435371,23.8335827,38.042145,23.8350681,0
23,1,38.0383578,23.8317445,38.0333162,23.8285623,1
24,2,38.038651,23.8341786,38.034281,23.82959,0
25,2,38.0446317,23.831853,38.0397623,23.8361692,1
26,2,38.0339032,23.8280535,38.0408386,23.830437,1
27,1,38.0429552,23.8326488,38.0331793,23.8289298,1
28,2,38.0373281,23.8360875,38.0400922,23.8326185,1
29,1,38.0449374,23.830871,38.0409954,23.8287387,0
30,2,38.0398068,23.8321112,38.0361838,23.8365062,0
31,2,38.042796,23.833437,38.0366276,23.8351893,1
32,1,38.0415598,23.8318813,38.040168,23.8287978,0
33,1,38.0436067,23.8334101,38.0393171,23.835114,1
34,2,38.0359531,23.8314429,38.0338968,23.8301152,1
35,2,38.0426752,23.8304367,38.0322463,23.8295787,0
36,1,38.0438671,23.8302807,38.0424699,23.8342449,0
37,2,38.0326168,23.8286658,38.0356111,23.8304008,0
38,2,38.045617,23.834709,38.0428214,23.8367401,1
39,2,38.0430015,23.8348321,38.0380059,23.8338474,1
40,1,38.0352003,23.8341472,38.0344954,23.8363713,0
41,2,38.0328257,23.8300064,38.0337783,23.8282588,0
42,1,38.034023,23.8309638,38.0383816,23.8324883,1
43,2,38.0396078,23.8345672,38.0440267,23.8362863,0
44,1,38.0457073,23.8302181,38.0322996,23.8321869,0
45,1,38.0365051,23.8308978,38.0387194,23.8327231,1
46,1,38.0334386,23.8367034,38.0327103,23.8285043,0
47,2,38.0406176,23.8286477,38.0345208,23.8294768,0
48,1,38.0458353,23.8308202,38.03989,23.8338558,0
49,1,38.0333922,23.8344835,38.0386567,23.8366186,0
50,1,38.0397806,23.8284771,38.039616,23.8340478,0
51,2,38.0344953,23.8307657,38.0425904,23.8320596,1
52,2,38.0324291,23.8339087,38.0345521,23.8355711,0
53,2,38.0420076,23.8315969,38.0348215,23.8303861,1
54,1,38.0421311,23.8295057,38.0382694,23.8311016,1
55,1,38.0356987,23.8313019,38.032232,23.8341718,1
56,1,38.0322836,23.8281183,38.034147,23.828168,1
57,2,38.0385931,23.8351923,38.0449227,23.8291106,1
58,1,38.0332778,23.8331047,38.0365627,23.8287785,0
59,1,38.0335174,23.8292327,38.039697,23.8284943,1
60,1,38.0361497,23.8334392,38.0338597,23.829911,0
61,1,38.038159,23.8351744,38.0334909,23.8287281,1
62,1,38.0377054,23.8292919,38.0338433,23.8348566,0
63,2,38.0438514,23.8282839,38.0451883,23.8360372,1
64,2,38.0438422,23.8287734,38.0367106,23.8304143,1
65,2,38.0455294,23.8288117,38.038459,23.8332221,0
66,1,38.0434606,23.8345977,38.0439378,23.8322241,0
67,2,38.0381016,23.8328174,38.0447475,23.8297248,1
68,1,38.034442,23.8311645,38.0397753,23.8283398,1
69,2,38.0347332,23.8369189,38.0323406,23.833974,0
70,1,38.0376796,23.8360602,38.0425528,23.8293704,0
71,1,38.0347963,23.8316311,38.0409231,23.8285629,0
72,2,38.0326338,23.8312207,38.037073,23.8346717,0
73,2,38.0364587,23.8323455,38.0452327,23.8321639,0
74,1,38.0338036,23.8280444,38.0409029,23.832473,0
75,1,38.0438195,23.835834,38.0350022,23.829125,0
76,2,38.0451014,23.8342034,38.0451874,23.8355875,0
77,1,38.0409491,23.8340596,38.042677,23.8352536,1
78,1,38.0372891,23.8308284,38.0439417,23.8334358,0
79,2,38.0357728,23.8357116,38.0325005,23.8314387,1
80,2,38.0459401,23.8322587,38.0402118,23.8290034,0
81,2,38.0394543,23.8337182,38.0395579,23.8356115,1
82,1,38.045247,23.8303372,38.0349769,23.82839,0
83,1,38.0428107,23.8321472,38.0428022,23.8343857,1
84,1,38.0403733,23.8323625,38.0428363,23.8284959,1
85,2,38.0352227,23.8285455,38.0404552,23.8346552,1
86,1,38.0323608,23.8304474,38.0423388,23.8330438,1
87,1,38.0393102,23.8291649,38.0426707,23.8328329,1
88,2,38.0423177,23.8339079,38.0364912,23.8288788,1
89,1,38.0326645,23.8288312,38.0404429,23.8367469,1
90,1,38.0360081,23.8364555,38.0420597,23.8321807,0
91,2,38.0456118,23.8334616,38.0441594,23.8321666,0
92,2,38.0377482,23.8356969,38.0444134,23.832993,0
93,1,38.0430552,23.8288437,38.0321092,23.8299425,1
94,1,38.0342637,23.8329736,38.0399854,23.8350892,1
95,1,38.0369363,23.8369912,38.0378522,23.8342444,1
96,2,38.0337945,23.8301179,38.045772,23.836472,1
97,1,38.0423682,23.833957,38.0399287,23.833049,0
98,1,38.0399864,23.8368743,38.0418988,23.828367,0
99,1,38.0384385,23.8351331,38.036698,23.8362404,1
100,1,38.0418379,23.8335805,38.0427309,23.8343025,0
